Date,title,category,account,amount,currency,type,transfer-amount,transfer-currency,to-account,receive-amount,receive-currency,description,due-date,id
2024-08-11 13:56:59.652,karthik,Bills & Fees,Savings Bank,45.00,INR,EXPENSE,,,,,,,,74e78631-db14-4495-bfb9-85546b0bd2fe
2024-08-10 16:09:55.986,juice,Food & Drinks,Cash,40.00,INR,EXPENSE,,,,,,,,65e12e62-9f63-4c6c-b452-6c7b42fbfb7f
2024-08-09 10:25:21.618,tire,Transport,Cash,10.00,INR,EXPENSE,,,,,,,,9ecd93bd-a835-4263-86e2-99fea475fa37
2024-08-07 03:57:24.944,baba,Bills & Fees,Savings Bank,200.00,INR,EXPENSE,,,,,,,,00d39b2c-e722-485a-85ca-28f6506dc674
2024-08-04 13:09:08.452,reward,Bills & Fees,Salary Bank,4.00,INR,INCOME,,,,,,,,3861d205-3245-4926-ad69-4491b0bff547
2024-08-04 13:07:41.831,baba,Bills & Fees,Savings Bank,500.00,INR,EXPENSE,,,,,,,,d56409a4-8deb-4a73-84e7-dfcc630b90dd
2024-08-02 15:25:39.300,grocery,Bills & Fees,Salary Bank,30.00,INR,EXPENSE,,,,,,,,063983ae-2b62-4ba6-b53f-405af48101c2
2024-08-02 05:25:11.454,petrol,Transport,Savings Bank,100.00,INR,EXPENSE,,,,,,,,593dec7f-97fe-4114-89ff-71c8c7591ef8
2024-08-01 13:47:08.112,haircut,Bills & Fees,Savings Bank,152.00,INR,EXPENSE,,,,,,,,dba89b5e-346d-439b-aa8b-19c42ea5a8ca
2024-08-01 13:46:53.758,baba,Bills & Fees,Savings Bank,500.00,INR,EXPENSE,,,,,,,,3c916050-ffd6-45bd-a24c-6d5a9ffda846
2024-07-31 14:34:25.800,print,Bills & Fees,Savings Bank,22.00,INR,EXPENSE,,,,,,,,a474cddc-bbe2-4cfc-8fa8-8aa013b0260a
2024-07-31 13:49:37.981,license,Bills & Fees,Savings Bank,300.00,INR,EXPENSE,,,,,,,,00ee0c6b-7b05-4daa-9a55-0aa7b444be17
2024-07-26 14:48:03.223,noodles,Food & Drinks,Savings Bank,70.00,INR,EXPENSE,,,,,,,,e58169a9-810b-4539-b94c-8d5f009697c2
2024-07-20 04:53:54.600,breakfast,Food & Drinks,Cash,30.00,INR,EXPENSE,,,,,,,,81a3f436-7623-419e-8e87-2cbdd29a0476
2024-07-20 04:53:37.992,maa,Bills & Fees,Cash,50.00,INR,EXPENSE,,,,,,,,eff51027-fd36-4e8b-858c-70bc173f17c2
2024-07-15 08:50:27.789,rent,Bills & Fees,Savings Bank,"3,800.00",INR,EXPENSE,,,,,,,,94568f6d-f1d2-43bb-bf34-d93c7f124262
2024-07-14 14:26:20.654,grocery,Bills & Fees,Cash,171.00,INR,EXPENSE,,,,,,,,bda86294-0706-4b32-9a90-e3c4be9af40f
2024-07-14 14:26:07.147,grocery,Bills & Fees,Cash,90.00,INR,EXPENSE,,,,,,,,accdbb7a-7664-4e1a-9f7b-e29f1a2f8da1
2024-07-12 15:50:33.462,baba,Bills & Fees,Savings Bank,300.00,INR,EXPENSE,,,,,,,,2375ce27-4d2b-4055-9322-1181bed3e6aa
2024-07-10 08:46:15.659,maa,Bills & Fees,Cash,50.00,INR,EXPENSE,,,,,,,,ef205271-e09d-4662-b6ff-8ddb0c467121
2024-07-10 08:45:59.387,breakfast,Food & Drinks,Cash,30.00,INR,EXPENSE,,,,,,,,3424ecfa-0a8b-4049-aa00-59777cd39690
2024-07-07 05:17:18.519,breakfast,Food & Drinks,Salary Bank,30.00,INR,EXPENSE,,,,,,,,cac698e7-c811-427d-9ed5-b0673fffc6ae
2024-07-03 16:49:38.345,netflix,Bills & Fees,Savings Bank,199.00,INR,EXPENSE,,,,,,,,1e4d5f78-89f0-484f-bc8b-5633b654465b
2024-07-03 08:20:57.694,baba,Bills & Fees,Savings Bank,200.00,INR,EXPENSE,,,,,,,,585baf2d-4c48-4241-a771-04d6d34a127d
2024-07-02 09:04:42.442,lunch,Food & Drinks,Cash,120.00,INR,EXPENSE,,,,,,,,d948522f-8b58-4780-a36b-36212de2be24
2024-07-01 14:37:19.760,baba,Bills & Fees,Savings Bank,500.00,INR,EXPENSE,,,,,,,,4331ab35-e22f-4484-bfd9-78f03f31f54f
2024-07-01 14:37:10.673,recharge,Bills & Fees,Savings Bank,259.00,INR,EXPENSE,,,,,,,,3cad8c57-2bc9-43a2-8b41-2e7fef80c559
2024-07-01 12:52:37.467,printouts,Bills & Fees,Salary Bank,13.00,INR,EXPENSE,,,,,,,,a85b5ca6-e273-4889-912f-143d71087128
2024-07-01 12:27:47.375,printouts,Bills & Fees,Cash,42.00,INR,EXPENSE,,,,,,,,6202ac2c-5f86-4b8e-bec8-7570f00f7052
2024-06-30 15:25:49.013,biryani 🍚,Food & Drinks,Savings Bank,520.00,INR,EXPENSE,,,,,,,,778bf69f-8e6e-4f19-9eec-de8e87da0e86
2024-06-30 15:25:39.318,breakfast,Food & Drinks,Salary Bank,60.00,INR,EXPENSE,,,,,,,,b53e80d8-7726-4cc2-98b4-c241e10df863
2024-06-30 03:06:51.000,baba,Bills & Fees,Savings Bank,"2,000.00",INR,EXPENSE,,,,,,,,6e502c80-ea65-4c14-ae52-229484f4785a
2024-06-29 17:30:41.555,juice,Food & Drinks,Cash,20.00,INR,EXPENSE,,,,,,,,49dcb2a0-d990-404e-bb8a-6b76eb8ac8fe
2024-06-29 17:30:35.612,cab,Transport,Cash,180.00,INR,EXPENSE,,,,,,,,c903cc52-742e-4e85-8aa4-daabb68ca918
2024-06-29 04:07:00.354,snacks,Food & Drinks,Cash,30.00,INR,EXPENSE,,,,,,,,efa32c0e-a89c-4051-a00a-f2ca192f7aa8
2024-06-29 04:06:02.094,chai,Food & Drinks,Cash,20.00,INR,EXPENSE,,,,,,,,2e898b7c-cf33-4eea-ab9c-241d4b79f5ab
2024-06-29 01:51:00.000,recharge,Bills & Fees,Savings Bank,266.90,INR,EXPENSE,,,,,,,,c20fffe7-e626-40b9-a328-abbfee07f117
2024-06-28 14:15:00.814,curd,Food & Drinks,Cash,25.00,INR,EXPENSE,,,,,,,,2d4a5c01-e44c-4757-833c-1d224ac4add8
2024-06-28 12:12:54.777,tea,Food & Drinks,Cash,10.00,INR,EXPENSE,,,,,,,,412e5881-81f4-4f1b-8f5b-44b37494efef
2024-06-28 08:03:54.409,water,Food & Drinks,Cash,10.00,INR,EXPENSE,,,,,,,,1a9e3a8c-317c-4201-9062-31dbcecb63d5
2024-06-27 14:46:47.643,water,Food & Drinks,Cash,40.00,INR,EXPENSE,,,,,,,,153de8c3-7909-498e-9d43-7c4ee326d083
2024-06-27 14:46:14.704,bus,Transport,Cash,20.00,INR,EXPENSE,,,,,,,,c0e4f5d9-5bd4-49e4-aefd-3ff48595f91b
2024-06-27 14:45:25.041,metro,Transport,Cash,20.00,INR,EXPENSE,,,,,,,,03783226-9430-4f1a-b8b8-57bd24885e9a
2024-06-27 14:44:58.599,haldiram,Food & Drinks,Cash,207.00,INR,EXPENSE,,,,,,,,c54801c1-0b35-4957-a3ce-909fb198186c
2024-06-27 14:43:37.895,tickets victoria,Bills & Fees,Cash,100.00,INR,EXPENSE,,,,,,,,5364aeef-79f3-4645-8f98-a058c5e7d215
2024-06-27 14:43:17.268,lunch,Food & Drinks,Cash,95.00,INR,EXPENSE,,,,,,,,c379664f-1940-49bb-820f-7366e229fb3f
2024-06-27 14:42:56.410,ferry,Transport,Cash,50.00,INR,EXPENSE,,,,,,,,942ad094-4a94-444c-8f43-54e8fe5a39f0
2024-06-27 14:42:45.061,baba,Bills & Fees,Cash,500.00,INR,EXPENSE,,,,,,,,c0684741-93d6-46b2-a47d-32f7e09d8ad7
2024-06-27 14:42:09.168,museum,Bills & Fees,Savings Bank,150.00,INR,EXPENSE,,,,,,,,819ae93c-51e7-4974-895f-7713a3bf6b89
